Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.541,0.509
"Bus Turnaround Time (Slow 1100mV 85C Model)",2.057,--
"Core (Slow 1100mV 85C Model)",1.577,0.174
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.036,0.574
"DQS vs CK (Slow 1100mV 85C Model)",0.512,0.395
"Postamble (Slow 1100mV 85C Model)",0.368,0.368
"Read Capture (Slow 1100mV 85C Model)",0.19,0.143
"Write (Slow 1100mV 85C Model)",0.183,0.194
"Address Command (Slow 1100mV 0C Model)",0.528,0.501
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.086,--
"Core (Slow 1100mV 0C Model)",1.565,0.2
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.128,0.569
"DQS vs CK (Slow 1100mV 0C Model)",0.52,0.436
"Postamble (Slow 1100mV 0C Model)",0.349,0.349
"Read Capture (Slow 1100mV 0C Model)",0.202,0.154
"Write (Slow 1100mV 0C Model)",0.202,0.207
"Address Command (Fast 1100mV 85C Model)",0.608,0.569
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.244,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.6,0.59
"Postamble (Fast 1100mV 85C Model)",0.516,0.516
"Read Capture (Fast 1100mV 85C Model)",0.37,0.322
"Write (Fast 1100mV 85C Model)",0.285,0.285
"Address Command (Fast 1100mV 0C Model)",0.587,0.587
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.257,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.597,0.618
"Postamble (Fast 1100mV 0C Model)",0.521,0.521
"Read Capture (Fast 1100mV 0C Model)",0.37,0.322
"Write (Fast 1100mV 0C Model)",0.299,0.299
